"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant cellular process","aberrant cellular process","""aberrant cellular process""","10","0","0","1","1",""
"aberrant cellular response to nitrogen starvation","aberrant cellular response to nitrogen starvation","""aberrant cellular response to nitrogen starvation""","5","0","0","1","1",""
"aberrant cellular response to starvation","aberrant cellular response to starvation","""aberrant cellular response to starvation""","0","0","NaN","1","1",""
"aberrant centromere complex assembly","aberrant centromere complex assembly","""aberrant centromere complex assembly""","2","0","0","1","1",""
"aberrant centrosome localization","aberrant centrosome localization","""aberrant centrosome localization""","3","0","0","1","1",""
"aberrant centrosome organization","aberrant centrosome organization","""aberrant centrosome organization""","5","0","0","1","1",""
"aberrant chemotaxis to folate","aberrant chemotaxis to folate","""aberrant chemotaxis to folate""","6","0","0","1","1",""
"aberrant chemotaxis","aberrant chemotaxis","""aberrant chemotaxis""","6","0","0","1","1",""
"aberrant chromatin assembly","aberrant chromatin assembly","""aberrant chromatin assembly""","0","0","NaN","1","1",""
"aberrant contractile vacuole discharge","aberrant contractile vacuole discharge","""aberrant contractile vacuole discharge""","3","0","0","1","1",""
"aberrant contractile vacuole localization","aberrant contractile vacuole localization","""aberrant contractile vacuole localization""","2","0","0","1","1",""
"aberrant contractile vacuole morphology","aberrant contractile vacuole morphology","""aberrant contractile vacuole morphology""","8","0","0","1","1",""
"aberrant contractile vacuole organization","aberrant contractile vacuole organization","""aberrant contractile vacuole organization""","10","0","0","1","1",""
"aberrant cortical actin cytoskeleton organization","aberrant cortical actin cytoskeleton organization","""aberrant cortical actin cytoskeleton organization""","8","0","0","1","1",""
"aberrant cyclic nucleotide binding","aberrant cyclic nucleotide binding","""aberrant cyclic nucleotide binding""","1","0","0","1","1",""
"aberrant double-strand break repair via homologous recombination","aberrant double-strand break repair via homologous recombination","""aberrant double-strand break repair via homologous recombination""","1","0","0","1","1",""
"aberrant endocytosis","aberrant endocytosis","""aberrant endocytosis""","2","0","0","1","1",""
"aberrant endoplasmic reticulum membrane organization","aberrant endoplasmic reticulum membrane organization","""aberrant endoplasmic reticulum membrane organization""","1","0","0","1","1",""
"aberrant endoplasmic reticulum organization","aberrant endoplasmic reticulum organization","""aberrant endoplasmic reticulum organization""","1","0","0","1","1",""
"aberrant endosomal transport","aberrant endosomal transport","""aberrant endosomal transport""","1","0","0","1","1",""
"aberrant endosome morphology","aberrant endosome morphology","""aberrant endosome morphology""","4","0","0","1","1",""
"aberrant engulfment during phagocytosis","aberrant engulfment during phagocytosis","""aberrant engulfment during phagocytosis""","2","0","0","1","1",""
"aberrant epithelium-like organization","aberrant epithelium-like organization","""aberrant epithelium-like organization""","1","0","0","1","1",""
"aberrant establishment or maintenance of cell polarity","aberrant establishment or maintenance of cell polarity","""aberrant establishment or maintenance of cell polarity""","3","0","0","1","1",""
