"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0044540","GO:0044540","""L-cystine L-cysteine-lyase (deaminating)""","1","0","0","1","1",""
"GO:0070548","GO:0070548","""L-glutamine aminotransferase activity""","1","0","0","1","1",""
"GO:0052656","GO:0052656","""L-isoleucine transaminase activity""","1","0","0","1","1",""
"GO:0052654","GO:0052654","""L-leucine transaminase activity""","1","0","0","1","1",""
"GO:0050048","GO:0050048","""L-leucine:2-oxoglutarate aminotransferase activity""","1","0","0","1","1",""
"GO:0030060","GO:0030060","""L-malate dehydrogenase activity""","3","0","0","1","1",""
"GO:0070546","GO:0070546","""L-phenylalanine aminotransferase activity""","2","0","0","1","1",""
"GO:0080130","GO:0080130","""L-phenylalanine:2-oxoglutarate aminotransferase activity""","2","0","0","1","1",""
"GO:0036424","GO:0036424","""L-phosphoserine phosphatase activity""","2","0","0","1","1",""
"GO:0050031","GO:0050031","""L-pipecolate oxidase activity""","1","0","0","1","1",""
"GO:0003941","GO:0003941","""L-serine ammonia-lyase activity""","2","0","0","1","1",""
"GO:0106245","GO:0106245","""L-serine-phosphatidylethanolamine phosphatidyltransferase activity""","1","0","0","1","1",""
"GO:0070547","GO:0070547","""L-tyrosine aminotransferase activity""","1","0","0","1","1",""
"GO:0004838","GO:0004838","""L-tyrosine:2-oxoglutarate aminotransferase activity""","1","0","0","1","1",""
"GO:0052655","GO:0052655","""L-valine transaminase activity""","1","0","0","1","1",""
"GO:0061578","GO:0061578","""Lys63-specific deubiquitinase activity""","2","0","0","1","1",""
"GO:0004707","GO:0004707","""MAP kinase activity""","2","0","0","1","1",""
"GO:0004708","GO:0004708","""MAP kinase kinase activity""","1","0","0","1","1",""
"GO:0004709","GO:0004709","""MAP kinase kinase kinase activity""","1","0","0","1","1",""
"GO:0033549","GO:0033549","""MAP kinase phosphatase activity""","1","0","0","1","1",""
"GO:0008265","GO:0008265","""Mo-molybdopterin cofactor sulfurase activity""","1","0","0","1","1",""
"GO:0032407","GO:0032407","""MutSalpha complex binding""","1","0","0","1","1",""
"GO:0003942","GO:0003942","""N-acetyl-gamma-glutamyl-phosphate reductase activity""","1","0","0","1","1",""
