Gene,Entrez ID,noagg_ripple,ripple_lag,lag_tag,tag_tip,tip_slug,slug_Mhat,Mhat_cul,cul_FB,merged_milestones,Regulon cluster,tgr_disagg_gene,dediff,Parikh_cell-type,Maeda_cell-type,Maeda_detailed cell-type,cAMP-pulse induced,chemotaxis,hssA/2C/7E family,57-aa protein family,sig and  sigN genes,gtaG dependent short protein,All_transcriptional regulation and chromatin organization 
string,string,noagg_ripple_down noagg_ripple_up,ripple_lag_down ripple_lag_up,lag_tag_down lag_tag_up,tag_tip_down tag_tip_up,discrete,discrete,Mhat_cul_down Mhat_cul_up,cul_FB_down cul_FB_up,Mhat_cul_down Mhat_cul_up cul_FB_down cul_FB_up lag_tag_down lag_tag_up lag_tag_upMhat_cul_down noagg_ripple_down noagg_ripple_downMhat_cul_up noagg_ripple_downcul_FB_up noagg_ripple_downlag_tag_up noagg_ripple_downslug_Mhat_up noagg_ripple_up noagg_ripple_uplag_tag_down ripple_lag_down ripple_lag_up ripple_lag_uptag_tip_down slug_Mhat_up slug_Mhat_upcul_FB_down tag_tip_down tag_tip_up tip_slug_up tip_slug_upMhat_cul_down,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21,6to8h 8to12h,discrete,Psp Pst,prespore prestalk,Late\ prestalk\ SSE634\ pattern Late\ prestalk\ SSG721\ pattern PstA PstAB\ SLA128\ pattern PstAB\ SLC388\ pattern PstAB\ SSB312\ pattern PstAB\ SSK348\ pattern PstAO\ SLE474\ pattern PstAO\ SSA854\ pattern PstAO\ SSH475\ pattern PstO\ SLG775\ pattern PstO\ SLH659\ pattern PstO\ SSM184\ pattern SLC388\ pattern prespore,discrete,discrete,highly\ similar\ to\ other\ hssA/2C/7E hssA/2C/7E\ family related\ to\ hssA weakly\ similar\ to hssA/2C/7E,small_57aa small_57aa\ like,SrfA-induced almost\ identical\ to\ sigN176 sigN\ genes,gtaG\ dependent gtaG\ dependent\ weakly,"TF\ (general,pol\ II) TF\ (general,pol\ II)\ chromatin\ modification TF\ (mediator) TF\ (pol\ I/pol\ III) TF\ (regulation) TF\ (regulation)\ \ histon\ modification TF\ (regulation)\ chromatin\ org chromatin chromatin\ centromere chromatin\ remodeling\ factor histone\ modification histone/histone\ variant"
meta,meta,,,,,,,,,,,,,,,,,,,,,,
DDB_G0282187,8623449,,ripple_lag_up,,,,,,,ripple_lag_up,,,,,,,,,,,,,
DDB_G0283919,8624323,,ripple_lag_up,,,,,,,ripple_lag_up,,,,,,,,,,,,,
DDB_G0272532,8618514,,ripple_lag_up,,,,,,,ripple_lag_up,,,,,,,,,,,,,
DDB_G0277017,8620692,,ripple_lag_up,,,,,,,ripple_lag_up,,,,,,,,,,,,,
DDB_G0269938,8617375,,,,,tip_slug_up,,,,tip_slug_up,,,,Pst,,,,,,,,,
DDB_G0282415,8623561,,,,tag_tip_up,,,,,tag_tip_up,,,,Pst,,,,,,,,,
DDB_G0276741,8620657,,,,tag_tip_up,,,,,tag_tip_up,,,,Pst,,,,,,,,,
DDB_G0286373,8625576,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Pst,,,,,,,,,
DDB_G0270240,8617614,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Pst,,,,,,,,,
DDB_G0277025,8620710,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Pst,,,,,,,,,
DDB_G0282275,8623498,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Pst,,,,,,,,,
DDB_G0277099,8620822,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Pst,,,,,,,,,
DDB_G0268640,8616507,,ripple_lag_up,,,,,,,ripple_lag_up,,,,Pst,,,,,,,,,
DDB_G0276509,8620545,,ripple_lag_up,,,,,,,ripple_lag_up,,,,Pst,,,,,,,,,
DDB_G0276919,8620669,,,,,,,,,,,,,,prestalk,PstO SSM184 pattern,,,,,,,
DDB_G0270020,8617435,,,,,,,,,,,,,,prestalk,PstO SSM184 pattern,,,,,,,
DDB_G0292810,8628946,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0292218,8628565,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0272420,8618391,,,,,,,,,,C12,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0269672,8617125,,,,,,,,,,C12,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0269674,8617126,,,,,,,,,,C12,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0272530,8618513,,,,,,,,,,C12,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0285867,8625323,,,,,,,,,,,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0283871,8624271,,,,,,,,,,,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0283293,8624016,,,,,,,,,,,,,Pst,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0275063,8619824,,,,,,,,,,C12,,,,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0271538,8618028,,,,,,,,,,,,,,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0274579,8619343,,,,,,,,,,,,,,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0294489,8628985,,,,,,,,,,,,,,prestalk,PstO SLH659 pattern,,,,,,,
DDB_G0275253,8619794,noagg_ripple_up,,,,,,,,noagg_ripple_up,C19,,,Pst,prestalk,PstO SLG775 pattern,,,,,,,
DDB_G0275695,8620026,,,,,,,,,,,,,Pst,prestalk,PstO SLG775 pattern,,,,,,,
DDB_G0282009,8623359,,,,,,,,,,,,,Pst,prestalk,PstO SLG775 pattern,,,,,,,
DDB_G0275255,8619795,,,lag_tag_up,,,,,,lag_tag_up,,,,,prestalk,PstO SLG775 pattern,,,,,,,
DDB_G0279799,8622234,noagg_ripple_up,,,,,,,,noagg_ripple_up,C6,,,,prestalk,PstO SLG775 pattern,,,,,,,
DDB_G0268832,8616692,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0289869,8627360,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0289725,8627293,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0285939,8625369,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0288631,8626726,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0290737,8627801,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0289605,8627228,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0271150,8617971,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0290057,8627449,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0281499,8623108,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0280693,8622685,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Pst,,,,,,,,,
DDB_G0288457,8626635,noagg_ripple_up,,lag_tag_down,,,,,,noagg_ripple_uplag_tag_down,,,,Pst,,,,,,,,,
DDB_G0287003,8625902,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,,Pst,,,,,,,,,
DDB_G0267928,8616232,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,,Pst,,,,,,,,,
