ddb_g,AX4L846F_avr_00h,AX4L846F_avr_04h,AX4L846F_avr_08h,AX4L846F_avr_12h,AX4L846F_avr_16h,AX4L846F_avr_20h,B1.L846F_avr_00h,B1.L846F_avr_04h,B1.L846F_avr_08h,B1.L846F_avr_12h,B1.L846F_avr_16h,B1.L846F_avr_20h,
DDB_G0287397,20.01577565,29.96510399,21.60053952,26.08140954,25.3258421,22.00593144,22.03158998,27.95041403,23.78388499,21.31060327,23.87591901,22.51179616,
DDB_G0287399,376.5191561,578.405406,220.7266713,85.72203533,65.79180076,39.56046472,536.8949627,744.409626,372.7329926,334.6344308,224.6051289,133.0562843,
DDB_G0287401,10.63139217,8.184286092,2.413262408,3.191568335,4.855321457,5.810351795,14.60837443,7.248074276,4.089877329,3.357713891,3.779188909,4.961809007,
DDB_G0287403,245.1680868,242.8420598,125.1592126,114.1142811,59.01404683,54.29801347,291.576781,499.8841967,258.10789,191.3921416,230.3422199,105.7038195,
DDB_G0287405,126.2458746,150.4686258,321.359522,338.4592666,281.0572952,250.4027083,169.6509216,123.7375632,222.0724232,316.720936,268.7536035,225.7217237,
DDB_G0287407,9.861097661,43.74321044,10.00185784,13.6003207,11.90768334,10.01070101,11.82613241,36.45513138,16.01060229,14.75806352,13.86944367,9.830351349,
DDB_G0287409,0,0,0,0,0,0,0,0,0,0,0,0,
DDB_G0287411,0.389096645,2.411967666,1.096670721,0.514493657,0.554001649,0.699085036,0.346830482,2.083035392,1.412407318,1.016124195,0.759796581,0.619520243,
DDB_G0287413,5.590098955,9.643597784,4.796455389,4.537438039,5.781710602,9.086533802,5.425280586,6.127910852,5.782063034,5.444191896,8.012966374,9.502078043,
DDB_G0287415,15.29713994,58.79750948,28.79506079,12.78551042,10.14342505,7.758929665,21.02689752,65.89636964,42.58753033,29.61251924,19.39888427,18.7895703,
DDB_G0287417,0.560195234,0.461352886,0.208814194,0.357894415,0.177058028,0.399681897,0.325885348,0.524881071,0.229305521,0.163835936,0.32674504,0.2183742,
DDB_G0287421,0,0,0.021330861,0,0,0,0,0,0,0.017419981,0,0,
DDB_G0287423,0.410341208,0.250760276,0.152414935,3.122326221,5.047201098,9.517566412,0.454467817,0.21941604,0.093990624,0.229340534,2.96746733,10.47946263,
DDB_G0287425,0.040237253,0.022556607,3.901543843,16.55807577,8.569351672,11.25421854,0.040309442,0.023751817,0.656118427,5.662347552,10.69661892,10.05453058,
