"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant chemotaxis to cAMP","aberrant chemotaxis to cAMP","""aberrant chemotaxis to cAMP""","33","1","3.03","0.200248883341493","1","8621626"
"aberrant chemotaxis to folate","aberrant chemotaxis to folate","""aberrant chemotaxis to folate""","6","0","0","1","1",""
"aberrant chemotaxis","aberrant chemotaxis","""aberrant chemotaxis""","6","0","0","1","1",""
"aberrant chromatin assembly","aberrant chromatin assembly","""aberrant chromatin assembly""","0","0","NaN","1","1",""
"aberrant contractile vacuole discharge","aberrant contractile vacuole discharge","""aberrant contractile vacuole discharge""","3","0","0","1","1",""
"aberrant contractile vacuole localization","aberrant contractile vacuole localization","""aberrant contractile vacuole localization""","2","0","0","1","1",""
"aberrant contractile vacuole morphology","aberrant contractile vacuole morphology","""aberrant contractile vacuole morphology""","8","0","0","1","1",""
"aberrant cortical actin cytoskeleton organization","aberrant cortical actin cytoskeleton organization","""aberrant cortical actin cytoskeleton organization""","8","0","0","1","1",""
"aberrant cyclic nucleotide binding","aberrant cyclic nucleotide binding","""aberrant cyclic nucleotide binding""","1","0","0","1","1",""
"aberrant defense response to bacterium","aberrant defense response to bacterium","""aberrant defense response to bacterium""","11","0","0","1","1",""
"aberrant development of tipped mound","aberrant development of tipped mound","""aberrant development of tipped mound""","6","0","0","1","1",""
"aberrant double-strand break repair via homologous recombination","aberrant double-strand break repair via homologous recombination","""aberrant double-strand break repair via homologous recombination""","1","0","0","1","1",""
"aberrant endocytosis","aberrant endocytosis","""aberrant endocytosis""","2","0","0","1","1",""
"aberrant endoplasmic reticulum membrane organization","aberrant endoplasmic reticulum membrane organization","""aberrant endoplasmic reticulum membrane organization""","1","0","0","1","1",""
"aberrant endoplasmic reticulum organization","aberrant endoplasmic reticulum organization","""aberrant endoplasmic reticulum organization""","1","0","0","1","1",""
"aberrant endosomal transport","aberrant endosomal transport","""aberrant endosomal transport""","1","0","0","1","1",""
"aberrant engulfment during phagocytosis","aberrant engulfment during phagocytosis","""aberrant engulfment during phagocytosis""","2","0","0","1","1",""
"aberrant epithelium-like organization","aberrant epithelium-like organization","""aberrant epithelium-like organization""","1","0","0","1","1",""
"aberrant establishment or maintenance of cell polarity","aberrant establishment or maintenance of cell polarity","""aberrant establishment or maintenance of cell polarity""","3","0","0","1","1",""
"aberrant exocytosis","aberrant exocytosis","""aberrant exocytosis""","1","0","0","1","1",""
"aberrant extracellular cAMP signaling pathway","aberrant extracellular cAMP signaling pathway","""aberrant extracellular cAMP signaling pathway""","14","0","0","1","1",""
"aberrant filopodium formation","aberrant filopodium formation","""aberrant filopodium formation""","6","0","0","1","1",""
"aberrant glycogen metabolism","aberrant glycogen metabolism","""aberrant glycogen metabolism""","1","0","0","1","1",""
"aberrant hyperosmotic response","aberrant hyperosmotic response","""aberrant hyperosmotic response""","13","0","0","1","1",""
